"","date","CC","treatment","si","ph","tmp","mnfe","param","value"
"1",2023-02-15,1,"A","-1","-1","-1","-1","Apparent Colour",1
"2",2023-02-15,1,"A","-1","-1","-1","-1","True Colour",0
"3",2023-02-15,27,"A","-1","-1","-1","-1","Apparent Colour",1
"4",2023-02-15,27,"A","-1","-1","-1","-1","True Colour",0
"5",2023-02-15,2,"B","1","-1","-1","-1","Apparent Colour",1
"6",2023-02-15,2,"B","1","-1","-1","-1","True Colour",0
"7",2023-02-15,28,"B","1","-1","-1","-1","Apparent Colour",1
"8",2023-02-15,28,"B","1","-1","-1","-1","True Colour",0
"9",2023-02-15,3,"C","-1","-1","1","-1","Apparent Colour",1
"10",2023-02-15,3,"C","-1","-1","1","-1","True Colour",0
"11",2023-02-15,29,"C","-1","-1","1","-1","Apparent Colour",3
"12",2023-02-15,29,"C","-1","-1","1","-1","True Colour",0
"13",2023-02-17,4,"D","1","-1","1","-1","Apparent Colour",1
"14",2023-02-17,4,"D","1","-1","1","-1","True Colour",1
"15",2023-02-17,30,"D","1","-1","1","-1","Apparent Colour",1
"16",2023-02-17,30,"D","1","-1","1","-1","True Colour",1
"17",2023-02-17,5,"E","0","-1","0","0","Apparent Colour",11
"18",2023-02-17,5,"E","0","-1","0","0","True Colour",2
"19",2023-02-17,31,"E","0","-1","0","0","Apparent Colour",11
"20",2023-02-17,31,"E","0","-1","0","0","True Colour",2
"21",2023-02-17,6,"F","-1","-1","-1","1","Apparent Colour",26
"22",2023-02-17,6,"F","-1","-1","-1","1","True Colour",11
"23",2023-02-17,32,"F","-1","-1","-1","1","Apparent Colour",29
"24",2023-02-17,32,"F","-1","-1","-1","1","True Colour",3
"25",2023-03-01,7,"G","1","-1","-1","1","Apparent Colour",19
"26",2023-03-01,7,"G","1","-1","-1","1","True Colour",3
"27",2023-03-01,33,"G","1","-1","-1","1","Apparent Colour",18
"28",2023-03-01,33,"G","1","-1","-1","1","True Colour",2
"29",2023-03-01,8,"H","-1","-1","1","1","Apparent Colour",19
"30",2023-03-01,8,"H","-1","-1","1","1","True Colour",0
"31",2023-03-01,34,"H","-1","-1","1","1","Apparent Colour",23
"32",2023-03-01,34,"H","-1","-1","1","1","True Colour",0
"33",2023-03-01,9,"I","1","-1","1","1","Apparent Colour",15
"34",2023-03-01,9,"I","1","-1","1","1","True Colour",1
"35",2023-03-01,35,"I","1","-1","1","1","Apparent Colour",19
"36",2023-03-01,35,"I","1","-1","1","1","True Colour",1
"37",2023-03-08,10,"J","0","0","0","-1","Apparent Colour",5
"38",2023-03-08,10,"J","0","0","0","-1","True Colour",1
"39",2023-03-08,36,"J","0","0","0","-1","Apparent Colour",2
"40",2023-03-08,36,"J","0","0","0","-1","True Colour",1
"41",2023-03-08,12,"L","1","0","0","0","Apparent Colour",12
"42",2023-03-08,12,"L","1","0","0","0","True Colour",3
"43",2023-03-08,38,"L","1","0","0","0","Apparent Colour",9
"44",2023-03-08,38,"L","1","0","0","0","True Colour",3
"45",2023-03-08,13,"M","-1","0","0","0","Apparent Colour",11
"46",2023-03-08,13,"M","-1","0","0","0","True Colour",5
"47",2023-03-08,39,"M","-1","0","0","0","Apparent Colour",13
"48",2023-03-08,39,"M","-1","0","0","0","True Colour",3
"49",2023-03-08,14,"N","0","0","1","0","Apparent Colour",16
"50",2023-03-08,14,"N","0","0","1","0","True Colour",NA
"51",2023-03-08,40,"N","0","0","1","0","Apparent Colour",13
"52",2023-03-08,40,"N","0","0","1","0","True Colour",2
"53",2023-03-08,15,"O","0","0","-1","0","Apparent Colour",12
"54",2023-03-08,15,"O","0","0","-1","0","True Colour",0
