"","CC","Turb_avg","treatment","si","ph","tmp","mnfe","param","value"
"1",1,0.171,"A","-1","-1","-1","-1","Turb1",0.171
"2",1,0.171,"A","-1","-1","-1","-1","Turb2",0.153
"3",1,0.171,"A","-1","-1","-1","-1","Turb3",0.219
"4",27,0.158,"A","-1","-1","-1","-1","Turb1",0.109
"5",27,0.158,"A","-1","-1","-1","-1","Turb2",0.158
"6",27,0.158,"A","-1","-1","-1","-1","Turb3",0.193
"7",2,0.182,"B","1","-1","-1","-1","Turb1",0.152
"8",2,0.182,"B","1","-1","-1","-1","Turb2",0.221
"9",2,0.182,"B","1","-1","-1","-1","Turb3",0.182
"10",28,0.234,"B","1","-1","-1","-1","Turb1",0.234
"11",28,0.234,"B","1","-1","-1","-1","Turb2",0.338
"12",28,0.234,"B","1","-1","-1","-1","Turb3",0.167
"13",3,0.103,"C","-1","-1","1","-1","Turb1",0.103
"14",3,0.103,"C","-1","-1","1","-1","Turb2",0.099
"15",3,0.103,"C","-1","-1","1","-1","Turb3",0.13
"16",29,0.148,"C","-1","-1","1","-1","Turb1",0.148
"17",29,0.148,"C","-1","-1","1","-1","Turb2",0.14
"18",29,0.148,"C","-1","-1","1","-1","Turb3",0.156
"19",6,1.36,"F","-1","-1","-1","1","Turb1",1.36
"20",6,1.36,"F","-1","-1","-1","1","Turb2",1.39
"21",6,1.36,"F","-1","-1","-1","1","Turb3",1.31
"22",32,1.29,"F","-1","-1","-1","1","Turb1",1.56
"23",32,1.29,"F","-1","-1","-1","1","Turb2",1.29
"24",32,1.29,"F","-1","-1","-1","1","Turb3",1.26
"25",7,1.18,"G","1","-1","-1","1","Turb1",1.11
"26",7,1.18,"G","1","-1","-1","1","Turb2",1.18
"27",7,1.18,"G","1","-1","-1","1","Turb3",1.39
"28",33,1.21,"G","1","-1","-1","1","Turb1",1.15
"29",33,1.21,"G","1","-1","-1","1","Turb2",1.21
"30",33,1.21,"G","1","-1","-1","1","Turb3",1.4
"31",8,1.36,"H","-1","-1","1","1","Turb1",1.31
"32",8,1.36,"H","-1","-1","1","1","Turb2",1.36
"33",8,1.36,"H","-1","-1","1","1","Turb3",1.43
"34",34,1.34,"H","-1","-1","1","1","Turb1",1.32
"35",34,1.34,"H","-1","-1","1","1","Turb2",1.34
"36",34,1.34,"H","-1","-1","1","1","Turb3",1.45
"37",18,0.17,"R","-1","1","-1","-1","Turb1",0.17
"38",18,0.17,"R","-1","1","-1","-1","Turb2",0.232
"39",18,0.17,"R","-1","1","-1","-1","Turb3",0.12
"40",44,0.126,"R","-1","1","-1","-1","Turb1",0.126
"41",44,0.126,"R","-1","1","-1","-1","Turb2",0.21
"42",44,0.126,"R","-1","1","-1","-1","Turb3",0.126
"43",19,0.151,"S","1","1","-1","-1","Turb1",0.194
"44",19,0.151,"S","1","1","-1","-1","Turb2",0.151
"45",19,0.151,"S","1","1","-1","-1","Turb3",0.142
"46",45,0.208,"S","1","1","-1","-1","Turb1",0.208
"47",45,0.208,"S","1","1","-1","-1","Turb2",0.258
"48",45,0.208,"S","1","1","-1","-1","Turb3",0.196
"49",20,0.262,"T","-1","1","1","-1","Turb1",0.402
"50",20,0.262,"T","-1","1","1","-1","Turb2",0.262
"51",20,0.262,"T","-1","1","1","-1","Turb3",0.189
"52",46,0.18,"T","-1","1","1","-1","Turb1",0.304
"53",46,0.18,"T","-1","1","1","-1","Turb2",0.18
"54",46,0.18,"T","-1","1","1","-1","Turb3",0.166
"55",23,2.78,"W","-1","1","-1","1","Turb1",3.48
"56",23,2.78,"W","-1","1","-1","1","Turb2",2.78
"57",23,2.78,"W","-1","1","-1","1","Turb3",1.92
"58",49,2.11,"W","-1","1","-1","1","Turb1",1.93
"59",49,2.11,"W","-1","1","-1","1","Turb2",2.88
"60",49,2.11,"W","-1","1","-1","1","Turb3",2.11
"61",24,2.05,"X","1","1","-1","1","Turb1",2.26
"62",24,2.05,"X","1","1","-1","1","Turb2",2.05
"63",24,2.05,"X","1","1","-1","1","Turb3",1.72
"64",50,1.78,"X","1","1","-1","1","Turb1",1.78
"65",50,1.78,"X","1","1","-1","1","Turb2",2.08
"66",50,1.78,"X","1","1","-1","1","Turb3",1.69
"67",25,2.72,"Y","-1","1","1","1","Turb1",2.72
"68",25,2.72,"Y","-1","1","1","1","Turb2",2.8
"69",25,2.72,"Y","-1","1","1","1","Turb3",2.25
"70",51,2.7,"Y","-1","1","1","1","Turb1",2.74
"71",51,2.7,"Y","-1","1","1","1","Turb2",2.7
"72",51,2.7,"Y","-1","1","1","1","Turb3",2.29
"73",0,0.057,NA,NA,NA,NA,NA,"Turb1",0.057
"74",0,0.057,NA,NA,NA,NA,NA,"Turb2",0.07
"75",0,0.057,NA,NA,NA,NA,NA,"Turb3",0.05
