"","CC","Size1","Size2","Size3","Size_avg","treatment","si","ph","tmp","mnfe"
"1",1,1010,522.3,959.6,830.6333333,"A","-1","-1","-1","-1"
"2",27,723.2,1052,1373,1049.4,"A","-1","-1","-1","-1"
"3",2,642,580.8,2358,1193.6,"B","1","-1","-1","-1"
"4",28,1315,3415,2762,2497.333333,"B","1","-1","-1","-1"
"5",3,1806,2967,476.9,1749.966667,"C","-1","-1","1","-1"
"6",29,1640.7,1503,1328,1490.566667,"C","-1","-1","1","-1"
"7",6,536.3,831.4,587.4,651.7,"F","-1","-1","-1","1"
"8",32,544.2,458.6,628.4,543.7333333,"F","-1","-1","-1","1"
"9",7,297.6,280.8,381.7,320.0333333,"G","1","-1","-1","1"
"10",33,422.4,288.4,378.3,363.0333333,"G","1","-1","-1","1"
"11",8,267.9,859.4,311.6,479.6333333,"H","-1","-1","1","1"
"12",34,263.1,281.8,325.4,290.1,"H","-1","-1","1","1"
"13",18,531.3,751.1,506.2,596.2,"R","-1","1","-1","-1"
"14",44,766.2,851.3,575.2,730.9,"R","-1","1","-1","-1"
"15",19,1661,831.8,1138,1210.266667,"S","1","1","-1","-1"
"16",45,1862,904.1,693.8,1153.3,"S","1","1","-1","-1"
"17",20,750,820.8,803.9,791.5666667,"T","-1","1","1","-1"
"18",46,777.1,1729,922,1142.7,"T","-1","1","1","-1"
"19",23,1237,934.8,1524,1231.933333,"W","-1","1","-1","1"
"20",49,1216,1045,1128,1129.666667,"W","-1","1","-1","1"
"21",24,365.5,462.3,371.4,399.7333333,"X","1","1","-1","1"
"22",50,368.1,450.1,384.1,400.7666667,"X","1","1","-1","1"
"23",25,484.3,595.2,766.2,615.2333333,"Y","-1","1","1","1"
"24",51,495.4,604.8,699,599.7333333,"Y","-1","1","1","1"
