date,cell,element,type,censored,value,treatment,si,tmp,ph,mnfe,phase,number_of_changes,total_changes
2021-11-10T00:00:00Z,1,208Pb,total,none,208.31784047647176,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,1,27Al,total,none,20.338302934979943,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,1,31P,total,none,675.0457783362888,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,1,55Mn,total,none,2.772955159174673,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,1,56Fe,total,left,-1.083468357194319,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,2,208Pb,total,none,70.80337962345347,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,2,27Al,total,none,31.252084519537323,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,2,31P,total,left,301.67533822799146,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,2,55Mn,total,none,0.8642066479754998,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,2,56Fe,total,left,0.3299046718904769,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,3,208Pb,total,none,61.36305280429468,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,3,27Al,total,none,45.9276667008596,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,3,31P,total,none,620.3416621876427,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,3,55Mn,total,none,1.2473326738198247,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,3,56Fe,total,left,0.5029915679198803,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,4,208Pb,total,none,58.14611570661532,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,4,27Al,total,none,86.65932427211169,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,4,31P,total,none,547.7187777932729,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,4,55Mn,total,none,1.1908926852973298,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,4,56Fe,total,left,1.273029255575853,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,5,208Pb,total,none,862.6119481614348,0,-1,-1,-1,-1,1,1,19
2021-11-10T00:00:00Z,5,27Al,total,none,68.61519501666183,0,-1,-1,-1,-1,1,1,19
