CC,Si_lvl,pH_lvl,Mn_Fe_lvl,trimeta_lvl,date,total_changes,Si_dose,Mn_Fe_dose,pH_dose,trimeta_dose,value
1,-1,-1,-1,-1,2022-04-20,105,0,0,7.5,0,26.02584852360924
1,-1,-1,-1,-1,2022-05-11,117,0,0,7.5,0,59.913095213271696
1,-1,-1,-1,-1,2022-07-20,145,0,0,7.5,0,11.214329933775105
1,-1,-1,-1,-1,2022-08-03,152,0,0,7.5,0,19.06418061042421
1,-1,-1,-1,-1,2022-08-17,162,0,0,7.5,0,30.58755808395831
1,-1,-1,-1,-1,2022-09-01,165,0,0,7.5,0,26.66554506648394
1,-1,-1,-1,-1,2023-02-14,176,0,0,7.5,0,7.436235242531087
1,-1,-1,-1,-1,2023-02-28,183,0,0,7.5,0,8.500235364840714
1,-1,-1,-1,-1,2023-03-07,186,0,0,7.5,0,6.738440388676185
1,-1,-1,-1,-1,2023-03-14,190,0,0,7.5,0,35.97185137382397
1,-1,-1,-1,-1,2023-03-21,194,0,0,7.5,0,4.991685301782368
1,-1,-1,-1,-1,2023-03-28,198,0,0,7.5,0,11.409117464820067
2,1,-1,-1,-1,2022-04-20,105,20,0,7.5,0,63.17338614550415
2,1,-1,-1,-1,2022-05-11,117,20,0,7.5,0,17.827928436604086
2,1,-1,-1,-1,2022-07-20,145,20,0,7.5,0,25.426218726632406
2,1,-1,-1,-1,2022-08-03,152,20,0,7.5,0,39.278729069172925
2,1,-1,-1,-1,2022-08-17,162,20,0,7.5,0,22.729129485749137
2,1,-1,-1,-1,2022-09-01,165,20,0,7.5,0,10.309033726314622
2,1,-1,-1,-1,2023-02-14,176,20,0,7.5,0,11.688970633693854
2,1,-1,-1,-1,2023-02-28,183,20,0,7.5,0,12.976340518841427
2,1,-1,-1,-1,2023-03-07,186,20,0,7.5,0,8.340723876620054
2,1,-1,-1,-1,2023-03-14,190,20,0,7.5,0,6.066842018972582
2,1,-1,-1,-1,2023-03-21,194,20,0,7.5,0,8.84868060161891
2,1,-1,-1,-1,2023-03-28,198,20,0,7.5,0,10.090910934302817
3,-1,-1,-1,1,2022-04-20,105,0,0,7.5,1,33.84725782052036
3,-1,-1,-1,1,2022-05-11,117,0,0,7.5,1,36.25444972775139
3,-1,-1,-1,1,2022-07-20,145,0,0,7.5,1,54.52836078626044
3,-1,-1,-1,1,2022-08-03,152,0,0,7.5,1,241.90995039088813
3,-1,-1,-1,1,2022-08-17,162,0,0,7.5,1,39.367813616556845
3,-1,-1,-1,1,2022-09-01,165,0,0,7.5,1,69.05524705814804
3,-1,-1,-1,1,2023-02-14,176,0,0,7.5,1,31.355301837426428
3,-1,-1,-1,1,2023-02-28,183,0,0,7.5,1,29.183852108848647
3,-1,-1,-1,1,2023-03-07,186,0,0,7.5,1,34.85678519233123
3,-1,-1,-1,1,2023-03-14,190,0,0,7.5,1,40.3289999032484
3,-1,-1,-1,1,2023-03-21,194,0,0,7.5,1,33.3885724383224
3,-1,-1,-1,1,2023-03-28,198,0,0,7.5,1,32.3737795080593
4,1,-1,-1,1,2022-04-20,105,20,0,7.5,1,16.72934298293986
4,1,-1,-1,1,2022-05-11,117,20,0,7.5,1,33.479942048864395
4,1,-1,-1,1,2022-07-20,145,20,0,7.5,1,29.931930725642584
4,1,-1,-1,1,2022-08-03,152,20,0,7.5,1,38.42018309347991
4,1,-1,-1,1,2022-08-17,162,20,0,7.5,1,36.31747789589191
4,1,-1,-1,1,2022-09-01,165,20,0,7.5,1,40.367858912537
4,1,-1,-1,1,2023-02-14,176,20,0,7.5,1,24.719197162254154
4,1,-1,-1,1,2023-02-28,183,20,0,7.5,1,27.15975799201857
4,1,-1,-1,1,2023-03-07,186,20,0,7.5,1,19.26845708476032
4,1,-1,-1,1,2023-03-14,190,20,0,7.5,1,34.373551801541936
4,1,-1,-1,1,2023-03-21,194,20,0,7.5,1,21.91252242234093
4,1,-1,-1,1,2023-03-28,198,20,0,7.5,1,21.706053155499887
5,0,-1,0,0,2022-04-20,105,10,0.5,7.5,0.5,20.68634912350844
5,0,-1,0,0,2022-05-11,117,10,0.5,7.5,0.5,5.2430831288548685
5,0,-1,0,0,2022-07-20,145,10,0.5,7.5,0.5,68.58101147354138
5,0,-1,0,0,2022-08-03,152,10,0.5,7.5,0.5,42.88652746087831
5,0,-1,0,0,2022-08-17,162,10,0.5,7.5,0.5,24.418152022848368
5,0,-1,0,0,2022-09-01,165,10,0.5,7.5,0.5,18.444492066791923
5,0,-1,0,0,2023-02-14,176,10,0.5,7.5,0.5,10.541909017309036
5,0,-1,0,0,2023-02-28,183,10,0.5,7.5,0.5,14.87385037474806
5,0,-1,0,0,2023-03-07,186,10,0.5,7.5,0.5,8.118500337789476
5,0,-1,0,0,2023-03-14,190,10,0.5,7.5,0.5,15.858925107404536
5,0,-1,0,0,2023-03-21,194,10,0.5,7.5,0.5,18.483699448169524
5,0,-1,0,0,2023-03-28,198,10,0.5,7.5,0.5,15.620303735947765
6,-1,-1,1,-1,2022-04-20,105,0,1,7.5,0,4.271229019703096
6,-1,-1,1,-1,2022-05-11,117,0,1,7.5,0,0.8652860565643784
6,-1,-1,1,-1,2022-07-06,140,0,1,7.5,0,2.3239022498762165
6,-1,-1,1,-1,2022-07-20,145,0,1,7.5,0,19.087671092458656
6,-1,-1,1,-1,2022-08-03,152,0,1,7.5,0,29.491823791352203
6,-1,-1,1,-1,2022-08-17,162,0,1,7.5,0,22.19811540824558
6,-1,-1,1,-1,2022-09-01,165,0,1,7.5,0,76.22168092794583
6,-1,-1,1,-1,2023-02-14,176,0,1,7.5,0,17.54131577016857
