"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",2238.81007196925,0.0200984646541714,191.897737428194,0,2069.19568358957,2422.32794998675
"2","si",1.07994536198776,0.0236222042454515,1.62792701953516,0.103755465797638,0.984435508397743,1.18472157386633
"3","tmp",1.22562477587478,0.0236595039303752,4.29955623121065,1.82452842782051e-05,1.11706776354689,1.34473139433234
"4","ph",0.761726968765392,0.0302740093149373,-4.49506197509061,7.50259094073572e-06,0.676489040322839,0.857704915171445
"5","mnfe",1.41496264424885,0.0241704250874381,7.18032739736511,1.10225137985657e-12,1.28705518386119,1.55558153972334
"6","si:tmp",0.962750515740433,0.0250237044881637,-0.758500217466669,0.448273634684444,0.872797167557326,1.06197475199482
"7","si:ph",1.11743218515674,0.0250281470620695,2.21816982626299,0.0266961717980786,1.01300871415858,1.23261988862684
"8","tmp:ph",0.852702555546772,0.0250486827422051,-3.18069612428016,0.00150001013148533,0.772955709986007,0.940676986847227
"9","si:mnfe",0.871850214216279,0.0250237448897646,-2.74015026766879,0.00621568753237966,0.790389892862907,0.961706118578638
"10","tmp:mnfe",0.873101150458548,0.0250260506872361,-2.71125209069559,0.00678131240646324,0.791516795112707,0.963094685594756
"11","ph:mnfe",0.938394725378408,0.0251715657207894,-1.26302438296781,0.206781473165923,0.850224091640258,1.03570890224857
"12","si:tmp:ph",0.894903952458389,0.0250240456827731,-2.21864369100425,0.02666381760854,0.811288675024465,0.987137018893424
"13","si:tmp:mnfe",0.917710034084357,0.0250235973501436,-1.71585651869014,0.0863998120959184,0.831965334404244,1.01229182494988
"14","si:ph:mnfe",0.838153937610588,0.0250239579948107,-3.52768932424894,0.000432151306882212,0.759841354342216,0.924537759254074
"15","tmp:ph:mnfe",0.985767425105718,0.0250265409503043,-0.286392542343175,0.77461799534484,0.893653585445109,1.08737594994995
"16","si:tmp:ph:mnfe",0.781009409915618,0.0250235637029551,-4.93870664469584,8.76619680499795e-07,0.708037197439071,0.861502334316598
