"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",223781.007196925,0.0200984646541714,191.897737428194,0,206819.568358957,242132.794998675
"2","si",7.99453619877586,0.0236222042454515,1.62792701953516,0.103755465797638,-1.55644916022571,18.4721573866326
"3","tmp",22.5624775874783,0.0236595039303752,4.29955623121065,1.82452842782051e-05,11.7067763546889,34.4731394332336
"4","ph",-23.8273031234608,0.0302740093149373,-4.49506197509061,7.50259094073572e-06,-32.3510959677161,-14.2295084828555
"5","mnfe",41.4962644248851,0.0241704250874381,7.18032739736511,1.10225137985657e-12,28.7055183861191,55.5581539723342
"6","si:tmp",-3.7249484259567,0.0250237044881637,-0.758500217466669,0.448273634684444,-12.7202832442674,6.19747519948168
"7","si:ph",11.7432185156736,0.0250281470620695,2.21816982626299,0.0266961717980786,1.30087141585755,23.2619888626837
"8","tmp:ph",-14.7297444453228,0.0250486827422051,-3.18069612428016,0.00150001013148533,-22.7044290013993,-5.93230131527727
"9","si:mnfe",-12.8149785783721,0.0250237448897646,-2.74015026766879,0.00621568753237966,-20.9610107137093,-3.82938814213616
"10","tmp:mnfe",-12.6898849541452,0.0250260506872361,-2.71125209069559,0.00678131240646324,-20.8483204887293,-3.69053144052442
"11","ph:mnfe",-6.16052746215916,0.0251715657207894,-1.26302438296781,0.206781473165923,-14.9775908359742,3.57089022485686
"12","si:tmp:ph",-10.5096047541611,0.0250240456827731,-2.21864369100425,0.02666381760854,-18.8711324975535,-1.2862981106576
"13","si:tmp:mnfe",-8.2289965915643,0.0250235973501436,-1.71585651869014,0.0863998120959184,-16.8034665595756,1.22918249498833
"14","si:ph:mnfe",-16.1846062389412,0.0250239579948107,-3.52768932424894,0.000432151306882212,-24.0158645657784,-7.54622407459257
"15","tmp:ph:mnfe",-1.42325748942824,0.0250265409503043,-0.286392542343175,0.77461799534484,-10.6346414554891,8.73759499499529
"16","si:tmp:ph:mnfe",-21.8990590084382,0.0250235637029551,-4.93870664469584,8.76619680499795e-07,-29.1962802560929,-13.8497665683402
